onset,offset,role
32,74,rhythm+harm
96,108,rhythm
108,116,rhythm+harm
116,124,rhythm
124,138,rhythm
208,224,rhythm
224,254,harm
264,266,rhythm
276,290,rhythm
374,394,rhythm
406,410,rhythm
422,426,rhythm
434,458,rhythm+harm
460,508,mel+harm
508,538,rhythm+harm
540,602,rhythm+harm
660,702,rhythm+harm
724,736,rhythm
736,744,rhythm+harm
744,752,rhythm
752,766,rhythm
836,852,rhythm
852,882,harm
892,894,rhythm
904,918,rhythm
1002,1022,rhythm
1034,1038,rhythm
1050,1054,rhythm
1062,1086,rhythm+harm
1088,1136,mel+harm
1136,1166,rhythm+harm
1168,1230,rhythm+harm
1314,1318,rhythm
1328,1332,rhythm
1342,1346,rhythm
1356,1360,rhythm
1370,1374,rhythm
1392,1396,rhythm
1410,1414,rhythm
1432,1436,rhythm
1516,1526,harm
1532,1554,rhythm+harm
1556,1590,rhythm+harm
1636,1640,rhythm
1640,1668,harm
1668,1674,rhythm
1678,1710,rhythm
1760,1786,rhythm
1792,1814,rhythm
1826,1830,rhythm
1842,1846,rhythm
1854,1872,rhythm+harm
1872,1878,rhythm
1880,1924,rhythm+harm
1924,1936,rhythm
1944,1952,rhythm
1952,1962,rhythm+harm
1964,2000,rhythm
2000,2026,rhythm+harm
2040,2050,rhythm+harm
2110,2114,rhythm
2124,2128,rhythm
2138,2142,rhythm
2152,2156,rhythm
2166,2170,rhythm
2188,2192,rhythm
2206,2210,rhythm
2228,2232,rhythm
2312,2322,harm
2328,2350,rhythm+harm
2352,2386,rhythm+harm
2432,2436,rhythm
2436,2464,harm
2464,2470,rhythm
2474,2506,rhythm
2556,2582,rhythm
2588,2610,rhythm
2622,2626,rhythm
2638,2642,rhythm
2650,2668,rhythm+harm
2668,2674,rhythm
2676,2720,rhythm+harm
2720,2732,rhythm
2740,2748,rhythm
2748,2758,rhythm+harm
2760,2796,rhythm
2796,2822,rhythm+harm
2836,2846,rhythm+harm
2846,2858,rhythm
2972,3028,rhythm
3028,3054,rhythm+harm
3076,3088,rhythm
3088,3096,rhythm+harm
3096,3114,rhythm